"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @MalwareTechBlog: Decided my first blog post will be the story of the immediate WannaCry aftermath including how I got doxed. Not sure h…",FALSE,0,NA,2017-12-14 18:24:15,FALSE,NA,"941373283609563138",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bptcrypto",77,TRUE,FALSE,NA,NA
"2","RT @EnvoyeSpecial: Le #rançongiciel #WannaCry porterait la signature de la Corée du Nord.

<ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""Les braqueurs de l'ombre"" 
<ed><U+00A0><U+00BD><ed><U+00B4><U+00B4> #EnvoyeSpecial c…",FALSE,0,NA,2017-12-14 18:18:58,FALSE,NA,"941371955529306113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","romaingiabato",9,TRUE,FALSE,NA,NA
"3","2017 has been a great year for malware:

- WannaCry
- NotPetya
- Other ransoms based on NSA vulns

- Sonic Gather Battle",FALSE,3,NA,2017-12-14 18:18:03,FALSE,NA,"941371723689222144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_SrGio_",0,FALSE,FALSE,NA,NA
"4","RT @EnvoyeSpecial: Le #rançongiciel #WannaCry porterait la signature de la Corée du Nord.

<ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""Les braqueurs de l'ombre"" 
<ed><U+00A0><U+00BD><ed><U+00B4><U+00B4> #EnvoyeSpecial c…",FALSE,0,NA,2017-12-14 18:07:15,FALSE,NA,"941369007873064962",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","nombredor75",9,TRUE,FALSE,NA,NA
"5","As 2017, is coming to an end, we expect to see attacks derailing companies' productivity and weapons of mass #cyber… https://t.co/M0iGCLu1Fy",FALSE,0,NA,2017-12-14 18:04:49,TRUE,NA,"941368392879022080",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","enSiloSec",0,FALSE,FALSE,NA,NA
"6","RT @ESET: With attacks like WannaCry, Industroyer and the Experian data breach making headlines this year, what should you be prepared for…",FALSE,0,NA,2017-12-14 18:04:45,FALSE,NA,"941368378459086850",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sa67652482",1,TRUE,FALSE,NA,NA
"7","RT @PICSITech: Your Anti-virus is powerless against RANSOMWARE - get the biz guide to Ransomware ebook today https://t.co/uVXdvPGCZc #Ranso…",FALSE,0,NA,2017-12-14 18:01:27,FALSE,NA,"941367544430170112",NA,"<a href=""https://www.google.com"" rel=""nofollow"">helloworld-b</a>","sectest9",1,TRUE,FALSE,NA,NA
"8","Your Anti-virus is powerless against RANSOMWARE - get the biz guide to Ransomware ebook today… https://t.co/pa9ER5AH99",FALSE,0,NA,2017-12-14 18:00:49,TRUE,NA,"941367386955018240",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","PICSITech",1,FALSE,FALSE,NA,NA
"9","#WannaCry, una prueba de fuego para el software de #seguridad https://t.co/s49WmWPxFX https://t.co/C93UjweKnw",FALSE,0,NA,2017-12-14 18:00:41,FALSE,NA,"941367353069187077",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","MasQueDigital_",0,FALSE,FALSE,NA,NA
"10","With attacks like WannaCry, Industroyer and the Experian data breach making headlines this year, what should you be… https://t.co/phG1bMpjob",FALSE,2,NA,2017-12-14 18:00:10,TRUE,NA,"941367221619699712",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","ESET",1,FALSE,FALSE,NA,NA
"11","RT @MalwareTechBlog: Decided my first blog post will be the story of the immediate WannaCry aftermath including how I got doxed. Not sure h…",FALSE,0,NA,2017-12-14 17:54:31,FALSE,NA,"941365800409223168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TazminKey",77,TRUE,FALSE,NA,NA
"12","RT @nazirahmzaa: CL wrote the lyrics for 'Goodbye' in 10 minutes only. She was honestly telling Minzy to not go. And theyll miss her.  #imn…",FALSE,0,NA,2017-12-14 17:41:27,FALSE,NA,"941362513521897472",NA,"<a href=""https://www.google.com"" rel=""nofollow"">helloworld-b</a>","sectest9",1,TRUE,FALSE,NA,NA
"13","CL wrote the lyrics for 'Goodbye' in 10 minutes only. She was honestly telling Minzy to not go. And theyll miss her… https://t.co/Ozgdr0Msib",FALSE,0,NA,2017-12-14 17:37:14,TRUE,NA,"941361450190114816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nazirahmzaa",1,FALSE,FALSE,NA,NA
"14","RT @IT_eSecurity: “Wannacry puso de manifiesto que el parchado tradicional es ineficiente” @TrendMicroES #Leyendo Por una Transformación Di…",FALSE,0,NA,2017-12-14 17:34:49,FALSE,NA,"941360845866586112",NA,"<a href=""http://www.noweb.com"" rel=""nofollow"">Statistics for IT</a>","ITUser_es",13,TRUE,FALSE,NA,NA
"15","RT @IT_eSecurity: “Wannacry puso de manifiesto que el parchado tradicional es ineficiente” @TrendMicroES #Leyendo Por una Transformación Di…",FALSE,0,NA,2017-12-14 17:34:49,FALSE,NA,"941360843710717953",NA,"<a href=""http://www.noweb.com"" rel=""nofollow"">Statistics for IT</a>","bmadariaga_c",13,TRUE,FALSE,NA,NA
"16","RT @IT_eSecurity: “Wannacry puso de manifiesto que el parchado tradicional es ineficiente” @TrendMicroES #Leyendo Por una Transformación Di…",FALSE,0,NA,2017-12-14 17:34:48,FALSE,NA,"941360841282158592",NA,"<a href=""http://www.noweb.com"" rel=""nofollow"">Statistics for IT</a>","AranchaAsenjo",13,TRUE,FALSE,NA,NA
"17","RT @IT_eSecurity: “Wannacry puso de manifiesto que el parchado tradicional es ineficiente” @TrendMicroES #Leyendo Por una Transformación Di…",FALSE,0,NA,2017-12-14 17:34:48,FALSE,NA,"941360839029854211",NA,"<a href=""http://www.noweb.com"" rel=""nofollow"">Statistics for IT</a>","ITReseller_es",13,TRUE,FALSE,NA,NA
"18","RT @IT_eSecurity: “Wannacry puso de manifiesto que el parchado tradicional es ineficiente” @TrendMicroES #Leyendo Por una Transformación Di…",FALSE,0,NA,2017-12-14 17:34:47,FALSE,NA,"941360836924321793",NA,"<a href=""http://www.noweb.com"" rel=""nofollow"">Statistics for IT</a>","JRMelara",13,TRUE,FALSE,NA,NA
